Player,Squad,Pos,Min,90s,Gls90,Ast90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90,PrimaryPos
Brenden Aaronson,Leeds United,MFFW,2449,27.2,0.15,0.18,36.2,1.73,0.62,0.09,0.24,0.11,0.0,0.74,1.88,0.18,1.36,0.63,0.99,MF
Tyler Adams,Bournemouth,MF,1772,19.7,0.1,0.1,60.0,0.51,0.3,0.2,0.33,0.41,0.0,1.83,0.66,0.05,0.15,1.52,1.22,MF
Amine Adli,Bournemouth,MF,1094,12.2,0.25,0.08,45.0,1.65,0.74,0.15,0.33,0.16,0.0,2.38,1.89,0.41,3.2,0.49,1.39,MF
Emmanuel Agbadou,Wolves,DF,1101,12.2,0.0,0.0,30.0,0.82,0.25,0.0,0.0,0.08,0.08,0.82,0.41,0.08,1.07,1.15,1.72,DF
Ola Aina,Nottingham,DF,1588,17.6,0.0,0.0,8.3,0.68,0.06,0.0,0.0,0.17,0.0,0.74,0.85,0.0,2.22,1.48,1.19,DF
Rayan Ait-Nouri,Manchester City,DF,974,10.8,0.0,0.18,20.0,0.92,0.18,0.0,0.0,0.19,0.0,1.57,0.93,0.0,2.04,1.2,1.94,DF
Kristoffer Ajer,Brentford,DF,1810,20.1,0.0,0.05,30.0,0.5,0.15,0.0,0.0,0.2,0.0,1.14,0.25,0.0,0.35,0.75,1.14,DF
Omar Alderete,Sunderland,DF,2798,31.1,0.03,0.03,37.5,0.77,0.29,0.04,0.11,0.19,0.0,1.09,0.32,0.16,0.35,1.16,0.58,DF
Alisson,Liverpool,GK,2340,26.0,0.0,0.0,,0.0,0.0,,,0.04,0.0,0.04,0.27,0.0,0.0,0.0,0.0,GK
Ethan Ampadu,Leeds United,MF,3119,34.7,0.03,0.03,23.1,0.75,0.17,0.04,0.17,0.29,0.0,1.44,1.04,0.0,0.72,1.44,1.33,MF
Joachim Andersen,Fulham,DF,2875,31.9,0.0,0.03,25.0,0.5,0.13,0.0,0.0,0.22,0.03,0.94,0.41,0.0,0.47,1.07,0.82,DF
Elliot Anderson,Nottingham,MF,3331,37.0,0.11,0.11,22.7,1.19,0.27,0.09,0.4,0.22,0.0,1.54,2.16,0.05,4.73,1.11,1.62,MF
Andre,Wolves,MF,2762,30.7,0.03,0.0,6.7,0.49,0.03,0.07,1.0,0.39,0.0,1.53,1.4,0.0,1.3,0.81,1.37,MF
Jaidon Anthony,Burnley,MF,2722,30.2,0.26,0.07,41.8,1.82,0.76,0.15,0.35,0.13,0.0,0.89,1.56,0.3,2.65,0.53,0.7,MF
Alphonse Areola,West Ham,GK,1800,20.0,0.0,0.05,,0.0,0.0,,,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.0,GK
Jhon Arias,Wolves,FWMF,1124,12.5,0.08,0.0,18.8,1.28,0.24,0.06,0.33,0.08,0.0,2.08,0.72,0.24,2.4,0.56,2.16,FW
Adam Armstrong,Wolves,FWMF,1140,12.7,0.16,0.16,33.3,1.42,0.47,0.11,0.33,0.24,0.0,0.94,0.24,0.39,0.39,0.08,0.31,FW
