Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90
1,Brenden Aaronson,us USA,MFFW,Leeds United,24,2000,27.2,0.11,0,0.74,1.88,0.18,1.36,0.63,0.99
2,Jerome Abbey,eng ENG,MF,Wolves,15,2009,0.2,0,0,0,0,5,0,5,0
3,Zach Abbott,eng ENG,DF,Nottingham,19,2006,1.8,0,0,1.67,0.56,0,1.67,1.11,2.22
4,Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,3.2,0,0,0.63,0,0,0.31,0,0.31
5,Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,7.4,0.14,0,0.27,1.22,0.27,0.14,1.62,1.08
6,Tyler Adams,us USA,MF,Bournemouth,26,1999,19.7,0.41,0,1.83,0.66,0.05,0.15,1.52,1.22
7,Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,8.8,0.23,0,0.68,0,0.11,0,1.02,0.68
8,Simon Adingra,ci CIV,MFFW,Sunderland,23,2002,7.3,0.27,0,2.47,0.41,0.55,3.7,0.27,1.1
9,Amine Adli,ma MAR,MF,Bournemouth,25,2000,12.2,0.16,0,2.38,1.89,0.41,3.2,0.49,1.39
10,Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,12.2,0.08,0.08,0.82,0.41,0.08,1.07,1.15,1.72
11,Nayef Aguerd,ma MAR,DF,West Ham,29,1996,2,0,0,0,0.5,0,1,0.5,0
12,Ola Aina,ng NGA,DF,Nottingham,28,1996,17.6,0.17,0,0.74,0.85,0,2.22,1.48,1.19
13,Rayan Ait-Nouri,dz ALG,DF,Manchester City,24,2001,10.8,0.19,0,1.57,0.93,0,2.04,1.2,1.94
14,Kristoffer Ajer,no NOR,DF,Brentford,27,1998,20.1,0.2,0,1.14,0.25,0,0.35,0.75,1.14
15,Nathan Ake,nl NED,DF,Manchester City,30,1995,7.7,0.13,0,0.39,1.04,0.13,0.52,0.65,0.78
16,Carlos Alcaraz,ar ARG,MF,Everton,22,2002,7.7,0.52,0,1.3,1.56,0.13,0.78,0.26,1.17
17,Omar Alderete,py PAR,DF,Sunderland,28,1996,31.1,0.19,0,1.09,0.32,0.16,0.35,1.16,0.58
18,Alisson,br BRA,GK,Liverpool,32,1992,26,0.04,0,0.04,0.27,0,0,0,0
19,Max Alleyne,eng ENG,DF,Manchester City,20,2005,1.5,0,0,0,0,0,0,2,2
