Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1,Brenden Aaronson,us USA,MFFW,Leeds United,24,2000,27.2,4,47,17,36.2,1.73,0.62,0.09,0.24,0,0
2,Jerome Abbey,eng ENG,MF,Wolves,15,2009,0.2,0,0,0,,0,0,,,0,0
3,Zach Abbott,eng ENG,DF,Nottingham,19,2006,1.8,0,0,0,,0,0,,,0,0
4,Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,3.2,2,9,3,33.3,2.83,0.94,0.22,0.67,0,0
5,Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,7.4,1,4,2,50,0.54,0.27,0.25,0.5,0,0
6,Tyler Adams,us USA,MF,Bournemouth,26,1999,19.7,2,10,6,60,0.51,0.3,0.2,0.33,0,0
7,Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,8.8,0,2,0,0,0.23,0,0,,0,0
8,Simon Adingra,ci CIV,MFFW,Sunderland,23,2002,7.3,1,6,2,33.3,0.83,0.28,0.17,0.5,0,0
9,Amine Adli,ma MAR,MF,Bournemouth,25,2000,12.2,3,20,9,45,1.65,0.74,0.15,0.33,0,0
10,Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,12.2,0,10,3,30,0.82,0.25,0,0,0,0
11,Nayef Aguerd,ma MAR,DF,West Ham,29,1996,2,0,2,0,0,1,0,0,,0,0
12,Ola Aina,ng NGA,DF,Nottingham,28,1996,17.6,0,12,1,8.3,0.68,0.06,0,0,0,0
13,Rayan Ait-Nouri,dz ALG,DF,Manchester City,24,2001,10.8,0,10,2,20,0.92,0.18,0,0,0,0
14,Kristoffer Ajer,no NOR,DF,Brentford,27,1998,20.1,0,10,3,30,0.5,0.15,0,0,0,0
15,Nathan Ake,nl NED,DF,Manchester City,30,1995,7.7,0,7,1,14.3,0.91,0.13,0,0,0,0
16,Carlos Alcaraz,ar ARG,MF,Everton,22,2002,7.7,0,20,5,25,2.61,0.65,0,0,0,0
17,Omar Alderete,py PAR,DF,Sunderland,28,1996,31.1,1,24,9,37.5,0.77,0.29,0.04,0.11,0,0
18,Alisson,br BRA,GK,Liverpool,32,1992,26,0,0,0,,0,0,,,0,0
19,Max Alleyne,eng ENG,DF,Manchester City,20,2005,1.5,0,2,1,50,1.33,0.67,0,0,0,0
20,Alysson,br BRA,MF,Aston Villa,19,2006,0.5,0,1,0,0,1.84,0,0,,0,0
21,Jaydon Amauri Banel,nl NED,FWMF,Burnley,20,2004,0.1,0,0,0,,0,0,,,0,0
22,Zeki Amdouni,ch SUI,FWMF,Burnley,24,2000,0.8,0,3,1,33.3,3.7,1.23,0,0,0,0
23,Ethan Ampadu,wls WAL,MF,Leeds United,24,2000,34.7,1,26,6,23.1,0.75,0.17,0.04,0.17,0,0
24,Joachim Andersen,dk DEN,DF,Fulham,29,1996,31.9,0,16,4,25,0.5,0.13,0,0,0,0
25,Elliot Anderson,eng ENG,MF,Nottingham,22,2002,37,4,44,10,22.7,1.19,0.27,0.09,0.4,1,1
26,Andre,br BRA,MF,Wolves,24,2001,30.7,1,15,1,6.7,0.49,0.03,0.07,1,0,0
27,Nilson Angulo,ec ECU,MF,Sunderland,22,2003,4.5,0,7,3,42.9,1.56,0.67,0,0,0,0
28,Jaidon Anthony,eng ENG,MF,Burnley,25,1999,30.2,8,55,23,41.8,1.82,0.76,0.15,0.35,0,0
29,Alphonse Areola,fr FRA,GK,West Ham,32,1993,20,0,0,0,,0,0,,,0,0
30,Jhon Arias,co COL,FWMF,Wolves,27,1997,12.5,1,16,3,18.8,1.28,0.24,0.06,0.33,0,0
31,Adam Armstrong,eng ENG,FWMF,Wolves,28,1997,12.7,2,18,6,33.3,1.42,0.47,0.11,0.33,1,1
32,Harrison Armstrong,eng ENG,MF,Everton,18,2007,5.9,0,5,2,40,0.85,0.34,0,0,0,0
33,Tolu Arokodare,ng NGA,FW,Wolves,24,2000,15.8,3,46,16,34.8,2.92,1.01,0.07,0.19,0,1
34,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1,0,0,0,,0,0,,,0,0
35,Taiwo Awoniyi,ng NGA,FW,Nottingham,27,1997,5.5,4,15,8,53.3,2.73,1.46,0.27,0.5,0,0
36,Yasin Ayari,se SWE,MF,Brighton,21,2003,21.4,3,41,10,24.4,1.91,0.47,0.07,0.3,0,0
37,Benoit Badiashile,fr FRA,DF,Chelsea,24,2001,5.2,0,0,0,,0,0,,,0,0
38,Leon Bailey,jm JAM,MF,Aston Villa,27,1997,5.1,0,8,1,12.5,1.57,0.2,0,0,0,0
39,Dilane Bakwa,fr FRA,MF,Nottingham,22,2002,6.1,0,9,3,33.3,1.46,0.49,0,0,0,0
