Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90
1,Brenden Aaronson,us USA,MFFW,Leeds United,24,2000,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.15,0.18,0.33,0.15,0.33
2,Jerome Abbey,eng ENG,MF,Wolves,15,2009,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Zach Abbott,eng ENG,DF,Nottingham,19,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,0,0.63,0.63,0.63
5,Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,17,8,666,7.4,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14
6,Tyler Adams,us USA,MF,Bournemouth,26,1999,25,21,1772,19.7,2,2,4,2,0,0,8,0,0.1,0.1,0.2,0.1,0.2
7,Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,0,0,0,0,0
8,Simon Adingra,ci CIV,MFFW,Sunderland,23,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14
9,Amine Adli,ma MAR,MF,Bournemouth,25,2000,31,10,1094,12.2,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33
10,Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0,0,0,0,0
11,Nayef Aguerd,ma MAR,DF,West Ham,29,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ola Aina,ng NGA,DF,Nottingham,28,1996,18,18,1588,17.6,0,0,0,0,0,0,3,0,0,0,0,0,0
13,Rayan Ait-Nouri,dz ALG,DF,Manchester City,24,2001,17,12,974,10.8,0,2,2,0,0,0,2,0,0,0.18,0.18,0,0.18
14,Kristoffer Ajer,no NOR,DF,Brentford,27,1998,27,20,1810,20.1,0,1,1,0,0,0,4,0,0,0.05,0.05,0,0.05
15,Nathan Ake,nl NED,DF,Manchester City,30,1995,18,6,695,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0
16,Carlos Alcaraz,ar ARG,MF,Everton,22,2002,20,6,689,7.7,0,1,1,0,0,0,4,0,0,0.13,0.13,0,0.13
17,Omar Alderete,py PAR,DF,Sunderland,28,1996,33,32,2798,31.1,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06
18,Alisson,br BRA,GK,Liverpool,32,1992,26,26,2340,26,0,0,0,0,0,0,1,0,0,0,0,0,0
19,Max Alleyne,eng ENG,DF,Manchester City,20,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Alysson,br BRA,MF,Aston Villa,19,2006,3,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Jaydon Amauri Banel,nl NED,FWMF,Burnley,20,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Zeki Amdouni,ch SUI,FWMF,Burnley,24,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Ethan Ampadu,wls WAL,MF,Leeds United,24,2000,35,35,3119,34.7,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06
24,Joachim Andersen,dk DEN,DF,Fulham,29,1996,33,33,2875,31.9,0,1,1,0,0,0,7,1,0,0.03,0.03,0,0.03
25,Elliot Anderson,eng ENG,MF,Nottingham,22,2002,38,37,3331,37,4,4,8,3,1,1,8,0,0.11,0.11,0.22,0.08,0.19
26,Andre,br BRA,MF,Wolves,24,2001,35,30,2762,30.7,1,0,1,1,0,0,12,0,0.03,0,0.03,0.03,0.03
27,Nilson Angulo,ec ECU,MF,Sunderland,22,2003,8,5,404,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0
28,Jaidon Anthony,eng ENG,MF,Burnley,25,1999,37,32,2722,30.2,8,2,10,8,0,0,4,0,0.26,0.07,0.33,0.26,0.33
29,Alphonse Areola,fr FRA,GK,West Ham,32,1993,20,20,1800,20,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05
30,Jhon Arias,co COL,FWMF,Wolves,27,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08
31,Adam Armstrong,eng ENG,FWMF,Wolves,28,1997,14,14,1140,12.7,2,2,4,1,1,1,3,0,0.16,0.16,0.32,0.08,0.24
32,Harrison Armstrong,eng ENG,MF,Everton,18,2007,13,6,529,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Tolu Arokodare,ng NGA,FW,Wolves,24,2000,33,13,1419,15.8,3,1,4,3,0,1,1,0,0.19,0.06,0.25,0.19,0.25
34,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Taiwo Awoniyi,ng NGA,FW,Nottingham,27,1997,17,3,494,5.5,4,1,5,4,0,0,2,0,0.73,0.18,0.91,0.73,0.91
36,Yasin Ayari,se SWE,MF,Brighton,21,2003,29,20,1929,21.4,3,3,6,3,0,0,1,0,0.14,0.14,0.28,0.14,0.28
37,Benoit Badiashile,fr FRA,DF,Chelsea,24,2001,8,6,471,5.2,0,0,0,0,0,0,2,0,0,0,0,0,0
38,Leon Bailey,jm JAM,MF,Aston Villa,27,1997,13,3,459,5.1,0,1,1,0,0,0,1,0,0,0.2,0.2,0,0.2
39,Dilane Bakwa,fr FRA,MF,Nottingham,22,2002,14,6,553,6.1,0,2,2,0,0,0,1,0,0,0.33,0.33,0,0.33
40,Carlos Baleba,cm CMR,MF,Brighton,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0,0,0,0,0
41,Daniel Ballard,nir NIR,DF,Sunderland,25,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.08,0,0.08,0.08,0.08
42,Ross Barkley,eng ENG,MF,Aston Villa,31,1993,21,7,857,9.5,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42
43,Ashley Barnes,eng ENG,FWMF,Burnley,35,1989,7,0,46,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0
44,Harvey Barnes,eng ENG,FWMF,Newcastle,27,1997,37,19,1966,21.8,7,1,8,7,0,0,1,0,0.32,0.05,0.37,0.32,0.37
45,Thierno Barry,fr FRA,FW,Everton,22,2002,38,21,1914,21.3,8,0,8,8,0,0,3,0,0.38,0,0.38,0.38,0.38
46,Calvin Bassey,ng NGA,DF,Fulham,25,1999,30,28,2534,28.2,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04
47,Altay Bayindir,tr TUR,GK,Manchester Utd,27,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Jean-Ricner Bellegarde,ht HAI,MFFW,Wolves,27,1998,26,15,1248,13.9,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14
49,Walter Benitez,ar ARG,GK,Crystal Palace,32,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Rodrigo Bentancur,uy URU,MF,Tottenham,28,1997,26,23,1883,20.9,1,1,2,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1
51,Daniel Bentley,eng ENG,GK,Wolves,32,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Sander Berge,no NOR,MF,Fulham,27,1998,35,34,2905,32.3,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03
53,Lucas Bergvall,se SWE,MF,Tottenham,19,2006,23,11,965,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37
54,Beto,gw GNB,FW,Everton,27,1998,37,17,1568,17.4,9,1,10,9,0,0,3,0,0.52,0.06,0.57,0.52,0.57
55,Jaka Bijol,si SVN,DF,Leeds United,26,1999,25,21,1890,21,1,2,3,1,0,0,4,0,0.05,0.1,0.14,0.05,0.14
56,Yves Bissouma,ml MLI,MF,Tottenham,28,1996,11,7,603,6.7,0,0,0,0,0,0,4,0,0,0,0,0,0
57,Marco Bizot,nl NED,GK,Aston Villa,34,1991,7,6,585,6.5,0,0,0,0,0,0,2,0,0,0,0,0,0
58,Oscar Bobb,no NOR,MFFW,Manchester City,22,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19
59,Oscar Bobb,no NOR,MF,Fulham,22,2003,14,6,571,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Lamare Bogarde,nl NED,MFDF,Aston Villa,21,2004,28,11,1053,11.7,0,0,0,0,0,0,5,0,0,0,0,0,0
61,Jayden Bogle,eng ENG,MFDF,Leeds United,25,2000,34,32,2793,31,1,2,3,1,0,0,6,0,0.03,0.06,0.1,0.03,0.1
62,Sebastiaan Bornauw,be BEL,DF,Leeds United,26,1999,12,5,429,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0
63,Olivier Boscagli,fr FRA,DF,Brighton,27,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11
64,Sven Botman,nl NED,DF,Newcastle,25,2000,25,21,1835,20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1
65,Jarrod Bowen,eng ENG,MFFW,West Ham,28,1996,38,38,3403,37.8,9,11,20,8,1,1,4,0,0.24,0.29,0.53,0.21,0.5
66,Conor Bradley,nir NIR,DF,Liverpool,22,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0,0.1,0.1,0,0.1
67,Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13
68,Brian Brobbey,nl NED,FW,Sunderland,23,2002,31,22,1927,21.4,7,1,8,7,0,0,6,0,0.33,0.05,0.37,0.33,0.37
69,Armando Broja,al ALB,FW,Burnley,23,2001,24,8,860,9.6,1,1,2,1,0,0,0,0,0.1,0.1,0.21,0.1,0.21
70,David Brooks,wls WAL,MF,Bournemouth,28,1997,31,13,1204,13.4,1,3,4,1,0,0,7,0,0.07,0.22,0.3,0.07,0.3
71,Jacob Bruun Larsen,dk DEN,MFFW,Burnley,26,1998,28,10,1030,11.4,0,1,1,0,0,0,0,0,0,0.09,0.09,0,0.09
72,Emi Buendia,ar ARG,MF,Aston Villa,28,1996,36,21,1755,19.5,6,2,8,6,0,0,6,0,0.31,0.1,0.41,0.31,0.41
73,Hugo Bueno,es ESP,MFDF,Wolves,22,2002,35,26,2366,26.3,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11
74,Santiago Bueno,uy URU,DF,Wolves,26,1998,29,28,2553,28.4,3,1,4,3,0,0,4,0,0.11,0.04,0.14,0.11,0.14
75,Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,3,0,39,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0
77,Dan Burn,eng ENG,DF,Newcastle,33,1992,29,25,2199,24.4,1,2,3,1,0,0,11,1,0.04,0.08,0.12,0.04,0.12
78,Bradley Burrowes,eng ENG,MF,Aston Villa,17,2008,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Jun'ai Byfield,eng ENG,DF,Tottenham,16,2008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Sam Byram,eng ENG,DFMF,Leeds United,31,1993,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Moises Caicedo,ec ECU,MF,Chelsea,23,2001,33,32,2795,31.1,3,1,4,3,0,0,11,1,0.1,0.03,0.13,0.1,0.13
82,Tom Cairney,sct SCO,MF,Fulham,34,1991,24,6,775,8.6,2,0,2,2,0,0,3,0,0.23,0,0.23,0.23,0.23
83,Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,26,22,1699,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16
84,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,35,30,2721,30.2,14,1,15,10,4,5,3,0,0.46,0.03,0.5,0.33,0.36
85,Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,20,14,1336,14.8,0,0,0,0,0,0,3,0,0,0,0,0,0
86,Rio Cardines,tt TRI,MF,Crystal Palace,19,2006,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Fabio Carvalho,pt POR,MF,Brentford,22,2002,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,0,0.88,0.88,0.88
88,Casemiro,br BRA,MF,Manchester Utd,33,1992,34,33,2571,28.6,9,2,11,9,0,0,11,1,0.32,0.07,0.39,0.32,0.39
89,Matty Cash,pl POL,DF,Aston Villa,27,1997,35,34,3014,33.5,3,3,6,3,0,0,9,0,0.09,0.09,0.18,0.09,0.18
90,Timothy Castagne,be BEL,DFMF,Fulham,29,1995,30,20,1845,20.5,0,0,0,0,0,0,4,0,0,0,0,0,0
91,Valentin Castellanos,ar ARG,FW,West Ham,26,1998,18,17,1384,15.4,6,0,6,6,0,0,6,0,0.39,0,0.39,0.39,0.39
92,Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,34,31,2783,30.9,3,0,3,3,0,0,3,1,0.1,0,0.1,0.1,0.1
93,Rayan Cherki,fr FRA,MF,Manchester City,21,2003,33,19,1786,19.8,4,12,16,4,0,0,1,0,0.2,0.6,0.81,0.2,0.81
94,Federico Chiesa,it ITA,MF,Liverpool,27,1997,26,1,339,3.8,2,1,3,2,0,0,3,0,0.53,0.27,0.8,0.53,0.8
95,Tawanda Chirewa,zw ZIM,MF,Wolves,21,2003,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Ryan Christie,sct SCO,MF,Bournemouth,30,1995,26,9,994,11,2,0,2,2,0,0,3,1,0.18,0,0.18,0.18,0.18
97,Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,23,10,1079,12,3,4,7,3,0,0,0,0,0.25,0.33,0.58,0.25,0.58
98,Dennis Cirkin,lv LVA,DF,Sunderland,23,2002,8,3,323,3.6,0,0,0,0,0,0,2,0,0,0,0,0,0
99,Nathaniel Clyne,eng ENG,MFDF,Crystal Palace,34,1991,10,7,594,6.6,0,1,1,0,0,0,1,0,0,0.15,0.15,0,0.15
100,Seamus Coleman,ie IRL,DF,Everton,36,1988,5,1,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Nathan Collins,ie IRL,DF,Brentford,24,2001,35,32,2975,33.1,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09
102,Levi Colwill,eng ENG,DF,Chelsea,22,2003,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Lewis Cook,eng ENG,MFDF,Bournemouth,28,1997,18,8,874,9.7,0,1,1,0,0,0,1,1,0,0.1,0.1,0,0.1
104,Diego Coppola,it ITA,DF,Brighton,21,2003,5,2,194,2.2,0,0,0,0,0,0,2,0,0,0,0,0,0
105,Marc Cucurella,es ESP,DF,Chelsea,27,1998,34,31,2707,30.1,1,4,5,1,0,0,8,1,0.03,0.13,0.17,0.03,0.17
106,Jorge Cuenca,es ESP,DF,Fulham,25,1999,15,11,938,10.4,0,0,0,0,0,0,6,0,0,0,0,0,0
107,Josh Cullen,ie IRL,MF,Burnley,29,1996,18,18,1514,16.8,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24
108,Jair Cunha,br BRA,DF,Nottingham,20,2005,9,6,517,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Matheus Cunha,br BRA,MFFW,Manchester Utd,26,1999,33,29,2494,27.7,10,2,12,10,0,0,4,0,0.36,0.07,0.43,0.36,0.43
110,Diogo Dalot,pt POR,DFMF,Manchester Utd,26,1999,34,29,2614,29,1,3,4,1,0,0,5,0,0.03,0.1,0.14,0.03,0.14
